ID,원고제목,URL,상태,비고
"H01","첫 화면","/","로컬 초안 구현","전체 공개 검수 전"
"H02","숫자로 보는 연구의 축적","/","로컬 초안 구현","전체 공개 검수 전"
"H03","GMK® 소개","/","로컬 초안 구현","전체 공개 검수 전"
"H04","연구의 현재","/","로컬 초안 구현","전체 공개 검수 전"
"H05","사업으로 이어지는 소재","/","로컬 초안 구현","전체 공개 검수 전"
"H06","투자자를 위한 이야기","/","로컬 초안 구현","전체 공개 검수 전"
"H07","지속가능한 실천","/","로컬 초안 구현","전체 공개 검수 전"
"H08","인사이트·뉴스","/","로컬 초안 구현","전체 공개 검수 전"
"H09","마지막 문의","/","로컬 초안 구현","전체 공개 검수 전"
"C01","첫 화면","/company/","로컬 초안 구현","전체 공개 검수 전"
"C02","기업 이야기","/company/","로컬 초안 구현","전체 공개 검수 전"
"C03","우리가 집중하는 일","/company/","로컬 초안 구현","전체 공개 검수 전"
"C04","대표 메시지","/company/","로컬 초안 구현","전체 공개 검수 전"
"C05","비전과 실행","/company/","로컬 초안 구현","전체 공개 검수 전"
"C06","사람과 연구 환경","/company/","로컬 초안 구현","전체 공개 검수 전"
"C07","기업 기본정보","/company/","로컬 초안 구현","전체 공개 검수 전"
"CH01","첫 화면","/company/history/","로컬 초안 구현","전체 공개 검수 전"
"CH02","연구와 사업의 발자취","/company/history/","로컬 초안 구현","전체 공개 검수 전"
"CS01","첫 화면","/company/sustainability/","로컬 초안 구현","전체 공개 검수 전"
"CS02","자연의 가능성을 연구합니다","/company/sustainability/","로컬 초안 구현","전체 공개 검수 전"
"CS03","지역농산물을 영양원으로","/company/sustainability/","로컬 초안 구현","전체 공개 검수 전"
"CS04","배양 환경을 세심하게 관리합니다","/company/sustainability/","로컬 초안 구현","전체 공개 검수 전"
"CS05","마무리","/company/sustainability/","로컬 초안 구현","전체 공개 검수 전"
"CL01","방문과 문의","/company/history/","로컬 초안 구현","전체 공개 검수 전"
"R01","첫 화면","/rnd/","로컬 초안 구현","전체 공개 검수 전"
"R02","연구의 세 가지 축","/rnd/","로컬 초안 구현","전체 공개 검수 전"
"R03","인지기능 관련 연구의 현재","/rnd/","로컬 초안 구현","전체 공개 검수 전"
"R04","연구자료로 확인하세요","/rnd/","로컬 초안 구현","전체 공개 검수 전"
"RG01","정의","/rnd/gmk/","로컬 초안 구현","전체 공개 검수 전"
"RG02","복합배양의 의미","/rnd/gmk/","로컬 초안 구현","전체 공개 검수 전"
"RG03","기술에서 소재로","/rnd/gmk/","로컬 초안 구현","전체 공개 검수 전"
"RG04","원료로 활용하는 GMK®","/rnd/gmk/","로컬 초안 구현","전체 공개 검수 전"
"RG05","자주 묻는 질문","/rnd/gmk/","로컬 초안 구현","전체 공개 검수 전"
"RE01","첫 화면","/rnd/evidence/","로컬 초안 구현","전체 공개 검수 전"
"RE02","전임상·학술 연구","/rnd/evidence/","로컬 초안 구현","전체 공개 검수 전"
"RE03","안전성 관련 시험","/rnd/evidence/","로컬 초안 구현","전체 공개 검수 전"
"RE04","인체적용시험 요약","/rnd/evidence/","로컬 초안 구현","전체 공개 검수 전"
"RP01","첫 화면","/rnd/patents/","로컬 초안 구현","전체 공개 검수 전"
"RP02","기술 분야별 보기","/rnd/patents/","로컬 초안 구현","전체 공개 검수 전"
"RQ01","첫 화면","/business/development/","로컬 초안 구현","전체 공개 검수 전"
"RQ02","공급 전 함께 확인할 내용","/business/development/","로컬 초안 구현","전체 공개 검수 전"
"RQ03","시설과 인증","/business/development/","로컬 초안 구현","전체 공개 검수 전"
"B01","첫 화면","/business/","로컬 초안 구현","전체 공개 검수 전"
"B02","원료 공급","/business/","로컬 초안 구현","전체 공개 검수 전"
"B03","제품화 지원","/business/","로컬 초안 구현","전체 공개 검수 전"
"B04","소비자 제품","/business/","로컬 초안 구현","전체 공개 검수 전"
"B05","해외 협력","/business/","로컬 초안 구현","전체 공개 검수 전"
"BI01","원료 목록 첫 화면","/business/ingredients/","로컬 초안 구현","전체 공개 검수 전"
"BI02","GMK® 분말 상세","/business/ingredients/gmk/","로컬 초안 구현","전체 공개 검수 전"
"BI03","GMK®추출물 상세","/business/ingredients/extract/","로컬 초안 구현","전체 공개 검수 전"
"BI04","GMK®추출액 상세","/business/ingredients/liquid/","로컬 초안 구현","전체 공개 검수 전"
"BI05","공통 자료·상담 안내","/business/ingredients/ | /business/ingredients/gmk/ | /business/ingredients/extract/ | /business/ingredients/liquid/","로컬 초안 구현","전체 공개 검수 전"
"BD01","첫 화면","/business/development/","로컬 초안 구현","전체 공개 검수 전"
"BD02","함께하는 과정","/business/development/","로컬 초안 구현","전체 공개 검수 전"
"BD03","역할을 분명히 하는 협력","/business/development/","로컬 초안 구현","전체 공개 검수 전"
"BD04","상담 전 알려주세요","/business/development/","로컬 초안 구현","전체 공개 검수 전"
"BB01","첫 화면","/business/brands/","로컬 초안 구현","전체 공개 검수 전"
"BB02","브랜드 스토리","/business/brands/","로컬 초안 구현","전체 공개 검수 전"
"BB03","기운찬이 주목한 것은","/business/brands/","로컬 초안 구현","전체 공개 검수 전"
"BB04","연구가 소재가 되다","/business/brands/","로컬 초안 구현","전체 공개 검수 전"
"BB05","연구에서 일상으로","/business/brands/","로컬 초안 구현","전체 공개 검수 전"
"BB06","브랜드에 담은 의미","/business/brands/","로컬 초안 구현","전체 공개 검수 전"
"BB07","구매 안내","/business/brands/","로컬 초안 구현","전체 공개 검수 전"
"BB08","마무리","/business/brands/","로컬 초안 구현","전체 공개 검수 전"
"P01","마시면 기운차","/products/masimyeon-giuncha/","로컬 초안 구현","현행 라벨·공식 상품 URL 공개 검수 필요"
"P02","버섯마시면 기운차","/products/mushroom-giuncha/","로컬 초안 구현","현행 라벨·공식 상품 URL 공개 검수 필요"
"P03","기운차 진액","/products/giuncha-concentrate/","로컬 초안 구현","현행 라벨·공식 상품 URL 공개 검수 필요"
"P04","똑똑젤리","/products/ttokttok-jelly/","로컬 초안 구현","현행 라벨·공식 상품 URL 공개 검수 필요"
"P05","버섯한스푼","/products/mushroom-spoon/","로컬 초안 구현","현행 라벨·공식 상품 URL 공개 검수 필요"
"P06","기운찬 이뮨MK","/products/immun-mk/","로컬 초안 구현","현행 라벨·공식 상품 URL 공개 검수 필요"
"P07","기운찬 本","/products/giunchan-bon/","로컬 초안 구현","현행 라벨·공식 상품 URL 공개 검수 필요"
"P08","코그니칸","/products/cognican/","로컬 초안 구현","현행 라벨·공식 상품 URL 공개 검수 필요"
"P09","모든 제품의 공통 정보 영역","/business/brands/ | /products/masimyeon-giuncha/ | /products/mushroom-giuncha/ | /products/giuncha-concentrate/ | /products/ttokttok-jelly/ | /products/mushroom-spoon/ | /products/immun-mk/ | /products/giunchan-bon/ | /products/cognican/","로컬 초안 구현","표시정보 항목 배치; 상세값·구매 FAQ 보류"
"I01","첫 화면","/ir/","로컬 초안 구현","전체 공개 검수 전"
"I02","기운찬의 네 가지 기반","/ir/","로컬 초안 구현","전체 공개 검수 전"
"I03","수익모델","/ir/","로컬 초안 구현","전체 공개 검수 전"
"I04","다음 성장 과제","/ir/","로컬 초안 구현","전체 공개 검수 전"
"I05","현재와 계획을 구분합니다","/ir/","로컬 초안 구현","전체 공개 검수 전"
"I06","자료와 문의","/ir/","로컬 초안 구현","전체 공개 검수 전"
"N01","목록 첫 화면","/insights/","로컬 초안 구현","전체 공개 검수 전"
"N02","인사이트 원고 GMK®란 무엇인가요","/insights/what-is-gmk/","로컬 초안 구현","전체 공개 검수 전"
"N03","인사이트 원고 — 인체적용시험과 원료 인정은 어떻게 다른가요?","/insights/human-study-and-approval/","로컬 초안 구현","사용자 제공 개별인정형 원료 블로그 원고(2026-09-10)로 교체"
"N04","실제 뉴스·보도 상세 형식","","실제 기사 자료 대기","기사 원문·발행정보 미확정; 가짜 기사 생성 안 함"
"CT01","첫 화면","/contact/","로컬 초안 구현","전체 공개 검수 전"
"CT02","문의 유형","/contact/","로컬 초안 구현","전체 공개 검수 전"
"CT03","입력 안내","/contact/","로컬 초안 구현","전체 공개 검수 전"
"CT04","결과 안내","/contact/","로컬 초안 구현","전체 공개 검수 전"
"E01","이번 보완의 적용 기준","","제작 규칙 검토","전체 공개 검수 전"
"E02","명칭과 관계","","제작 규칙 검토","전체 공개 검수 전"
"E03","페이지별 검색 제목과 설명","","제작 규칙 검토","전체 공개 검수 전"
"E04","화면과 검색 접근성","","제작 규칙 검토","전체 공개 검수 전"
"E05","공개 근거와 미확정 항목","","제작 규칙 검토","전체 공개 검수 전"
"E06","오픈 후 확인할 성과","","제작 규칙 검토","전체 공개 검수 전"
"E07","자료의 근거","","제작 규칙 검토","전체 공개 검수 전"
